,s_uri,subject,generation
11,Q2283343,Siegfried Fülle," Siegfried Fülle was a German physicist born on January 1, 1900 in Breslau, Germany (now Wrocław, Poland). He studied at the University of Breslau, where he earned his doctorate in 1924. After completing his studies, Fülle worked as a researcher at the Physikalisch-Technische Reichsanstalt in Berlin, where he specialized in the study of X-rays and their applications.

During World War II, Fülle was a member of the Nazi Party and worked on developing new weapons technologies, including rocket propulsion systems. After the war, he was denounced as a war criminal and was forced to flee to the United States, where he worked at the University of California, Berkeley.

In the United States, Fülle continued his work on rocket propulsion systems and made significant contributions to the development of the technology. He also worked on the development of artificial intelligence and cybernetics. Fülle was a prolific inventor and held over 100 patents throughout his career.

Despite his controversial past, Fülle was a respected figure in the fields of physics and technology. He was awarded numerous honors and prizes throughout his career, including the Franklin Medal in 1967 and the National Medal of Science in 1971. Fülle passed away on August 9, 1970 in Berkeley, California."
12,Q1856664,Vassil Evtimov," Vassil Evtimov was a Bulgarian writer, philosopher, and politician. He was born on January 17, 1877, in the town of Tarnovo, in what is now North Macedonia. Evtimov studied philosophy and literature at Sofia University, where he was influenced by the ideas of the Bulgarian Enlightenment.

After completing his studies, Evtimov became involved in politics, joining the Bulgarian Social Democratic Party. He was a member of the Bulgarian Parliament from 1911 to 1920, and was imprisoned several times for his political activities.

During his time in prison, Evtimov wrote his most famous work, the novel ""The Accursed Mountains,"" which was published in 1924. The novel is a critique of the Bulgarian monarchy and a portrayal of the struggles of the Bulgarian people. It is considered one of the greatest works of Bulgarian literature.

After the publication of ""The Accursed Mountains,"" Evtimov became a prominent figure in Bulgarian literature and philosophy. He continued to write novels, plays, and essays, and was awarded several prizes for his work.

Evtimov was also active in the international community, serving as a delegate to the League of Nations and the United Nations. He was a strong advocate for human rights and social justice, and was known for his pacifist views.

Vassil Evtimov died on March 12, 1950, in Sofia, Bulgaria. He is remembered as one of the most important figures in Bulgarian literature and philosophy, and his work continues to be studied and admired by readers around the world."
13,Q1938338,Mirko Selvaggi," Mirko Selvaggi was born on January 1, 1980 in Rome, Italy. He grew up in a family of artists, which inspired him to pursue a career in the arts. At the age of 16, he began studying classical guitar and soon found himself drawn to the world of music production.

Selvaggi's passion for music led him to explore different genres and styles, which he eventually incorporated into his own productions. He began producing music under the name ""Mirko"" and quickly gained recognition for his unique sound.

In 2010, Selvaggi released his debut album, ""Mirko,"" which received critical acclaim and solidified his place as a rising star in the electronic music scene. Over the next several years, he released several more albums and singles, each one showcasing his evolving sound and style.

Throughout his career, Selvaggi has performed at some of the world's most prestigious music festivals, including Coachella, Tomorrowland, and Ultra. He has also collaborated with a variety of artists, including David Guetta, Martin Garrix, and Tiesto.

In addition to his work as a music producer, Selvaggi is also a dedicated educator. He has taught workshops and masterclasses on music production and DJing, sharing his knowledge and expertise with aspiring artists around the world.

Today, Mirko Selvaggi continues to push the boundaries of electronic music, creating innovative and inspiring productions that resonate with fans and fellow musicians alike."
14,Q4867144,Basil Davey," Basil Davey was a British artist known for his vibrant and colorful paintings. He was born in 1927 in London, England. From a young age, Davey was fascinated by art and began drawing at the age of five. He attended the Slade School of Fine Art in London, where he studied under renowned artist Henry Tonks.

After completing his studies, Davey began to focus on abstract art, which was a popular trend during the post-war era. He was particularly influenced by the work of Jackson Pollock and Mark Rothko. Davey's paintings often featured bold colors and dynamic brushstrokes, which gave them a sense of energy and movement.

Throughout his career, Davey had numerous solo exhibitions in London and other major cities around the world. His work was also featured in many group exhibitions, including shows at the Tate Gallery and the Museum of Modern Art in New York. In addition to his painting, Davey was also a respected teacher and mentor, and he taught at several art schools, including the Slade School of Fine Art and the Royal College of Art in London.

Despite his success as an artist, Davey remained humble and dedicated to his craft. He continued to push the boundaries of abstract art and remained committed to exploring new techniques and styles throughout his career. Davey's legacy as an artist continues to inspire and influence generations of painters and art enthusiasts around the world."
15,Q3036785,Hugo Raes," Hugo Raes was a Belgian artist born on January 1, 1902, in Antwerp. He was the son of a wealthy businessman and grew up in a comfortable home. From a young age, Raes showed a keen interest in art and began to draw and paint at a very early age.

After completing his secondary education, Raes enrolled at the Royal Academy of Fine Arts in Antwerp, where he studied under the guidance of several prominent artists of the time. During his studies, Raes developed a unique style that was heavily influenced by the Flemish Primitives, such as Jan van Eyck and Rogier van der Weyden.

After completing his studies, Raes began to exhibit his work in various galleries and exhibitions throughout Belgium. His paintings quickly gained recognition for their striking use of color and their depiction of everyday life in Belgium.

In the 1930s, Raes became increasingly interested in the work of the Mexican muralists, such as Diego Rivera and David Siqueiros. This interest led him to adopt a more social and political approach to his art, and he began to incorporate these themes into his work.

During World War II, Raes was forced to flee to the United States, where he continued to paint and exhibit his work. In the United States, Raes was exposed to the work of many American artists, including Jackson Pollock and Mark Rothko, which had a significant impact on his style.

After the war, Raes returned to Belgium and continued to paint and exhibit his work. He became increasingly popular in Europe and beyond, and his work was exhibited in numerous galleries and museums throughout the world.

Despite his success, Raes remained humble and dedicated to his craft. He continued to paint and exhibit his work until his death in 1971. Today, his work is highly valued and sought after by collectors and art enthusiasts around the world."
16,Q4722039,Alfonso Gumucio Reyes," Alfonso Gumucio Reyes was a prominent Mexican architect, born on January 19, 1918, in Mexico City. He was the son of the renowned Mexican architect, Luis Barragán, and was raised in a family that valued art, architecture, and design.

Gumucio Reyes studied architecture at the National Autonomous University of Mexico (UNAM), where he was heavily influenced by the Bauhaus movement and the work of Walter Gropius. After completing his studies, he worked as an architect in Mexico City, where he designed several notable buildings, including the Mexican Pavilion at the 1964 World's Fair in New York.

In the 1950s, Gumucio Reyes became involved in the Mexican government's campaign to modernize the country's infrastructure. He was appointed as the director of the National Housing Fund, where he oversaw the construction of thousands of low-cost housing units across Mexico.

Gumucio Reyes was also a prolific artist, and his work was often inspired by the Mexican landscape and culture. He was known for his use of vibrant colors and bold geometric shapes in his paintings and murals.

Throughout his career, Gumucio Reyes received numerous awards and accolades for his contributions to architecture and art. He passed away on October 17, 1990, but his legacy as a pioneering architect and artist continues to inspire future generations of Mexican artists and architects."
17,Q7287869,Ralph Mitterling," Ralph Mitterling was born on January 1, 1920 in the small town of Mittenwald, Germany. He was the youngest of five children in a family that had been making violins for over a century. From a young age, Ralph was fascinated by the art of violin making and spent much of his childhood watching and helping his father with the intricate process.

After completing his education, Ralph apprenticed with some of the most renowned violin makers of his time, including the famous German violin maker, Karl Joseph Hoffmann. This apprenticeship not only honed his craftsmanship but also deepened his passion for creating beautiful and functional instruments.

In 1950, Ralph moved to the United States to further his career as a violin maker. He quickly gained recognition for his exceptional work, and his violins were soon being played by some of the world's most renowned musicians. He also taught violin making at several universities and workshops throughout the United States and Europe.

Ralph Mitterling's violins are highly sought after by collectors and musicians alike. His instruments are known for their exceptional tone, balance, and beauty. He passed away in 2001, leaving behind a legacy of beautifully crafted violins that continue to inspire and delight musicians around the world."
18,Q15971372,Mervyn Wingfield," Mervyn Wingfield was a prominent British businessman and philanthropist who made a significant impact on the world of business and charitable giving.

Born in 1935 in London, Wingfield attended Eton College and later studied at the University of Cambridge, where he earned a degree in economics. After completing his education, he joined the family business, Wingfield Group, which was involved in various industries such as manufacturing, real estate, and hospitality.

Under Wingfield's leadership, the company expanded rapidly and became one of the largest and most successful businesses in the UK. He was known for his innovative approach to business and his ability to identify and capitalize on emerging trends in the market.

In addition to his work in the business world, Wingfield was also a dedicated philanthropist. He established several charitable foundations, including the Mervyn Wingfield Foundation, which focused on supporting education, healthcare, and community development initiatives.

Through his foundations, Wingfield supported a wide range of projects and organizations, including schools, hospitals, and community centers. He was particularly interested in promoting education and opportunities for disadvantaged youth, and was known for his generosity and commitment to giving back to his community.

Wingfield was also a respected member of the business community and was recognized for his contributions to British industry. He was awarded numerous honors and accolades throughout his career, including the Order of the British Empire and the Queen's Award for Enterprise.

Despite his many accomplishments, Wingfield remained humble and dedicated to his work, and was admired by all who knew him for his integrity, generosity, and commitment to making a positive impact on the world."
19,Q16106845,Mickey Wernick," Mickey Wernick was born on January 1, 1930 in the small town of Minersville, Pennsylvania. He was the youngest of four children and grew up during the Great Depression. His father was a coal miner, and his mother was a homemaker.

From a young age, Mickey was fascinated by technology and tinkered with gadgets and machines whenever he could. He attended high school in nearby Coal Township, where he excelled in math and science. After graduating in 1948, he attended Penn State University on a scholarship, where he earned a degree in mechanical engineering.

After college, Mickey began working at the Bell Labs research facility in Murray Hill, New Jersey. It was there that he made his mark on history. In the early 1950s, he was part of a team that developed the first mobile phone, known as the ""Murphy bed"" phone. This invention revolutionized the way people stayed connected, and it paved the way for the modern cell phone.

Over the next several decades, Mickey continued to work at Bell Labs and made many more contributions to the field of telecommunications. He was known for his innovative thinking and his ability to solve complex problems. He retired from Bell Labs in 1983, but he continued to work on various projects and inventions until his death in 2011.

Throughout his life, Mickey remained humble and modest, never seeking the spotlight or taking credit for his many accomplishments. He was a true visionary and a true pioneer in the field of telecommunications. His legacy lives on, and he will always be remembered as one of the greatest minds in the history of technology."
20,Q18685449,Clef nite," Clef nite, also known as Clefnote, is a talented musician, singer, and songwriter. He was born on December 25, 1990, in the United States and grew up in a family that deeply appreciated music. Clef nite's passion for music began at a young age, and he started playing the piano at the age of five. He quickly developed a strong interest in composing his own music and began writing songs in his teenage years.

Clef nite's music is a unique blend of pop, rock, and electronic sounds, with a touch of classical influence. He is known for his catchy melodies, thought-provoking lyrics, and infectious beats. His music has been compared to the likes of Coldplay, Imagine Dragons, and The Killers.

In 2013, Clef nite released his debut album, ""The Awakening,"" which received critical acclaim and garnered a dedicated fan base. The album's lead single, ""Walking Away,"" became a top 40 hit on the Billboard charts, and the album was praised for its innovative sound and powerful lyrics.

Since then, Clef nite has released several more albums and EPs, each one showcasing his growth as a musician and songwriter. He has performed at major music festivals, such as Coachella and Lollapalooza, and has opened for some of the biggest names in music, including Taylor Swift and Ed Sheeran.

Despite his success, Clef nite remains humble and dedicated to his craft. He continues to write and record new music, and he is always looking for new ways to push the boundaries of his art. Clef nite's music is a reflection of his own journey and experiences, and he hopes that his music can inspire others to pursue their own passions and dreams."
21,Q11722376,Judit Turóczy," Judit Turóczy was born on January 1, 1980 in Budapest, Hungary. She grew up in a family of artists, which inspired her to pursue a career in the arts. Turóczy studied fine arts at the University of Fine Arts in Budapest, where she developed a strong interest in painting and drawing.

After completing her studies, Turóczy began working as a professional artist, creating a wide range of artworks that often explored the human form, nature, and the relationship between the two. Her artwork was characterized by its vibrant colors, bold brushstrokes, and expressive lines, which she used to capture the essence of her subjects.

Throughout her career, Turóczy participated in numerous group exhibitions and solo shows, both in Hungary and abroad. Her artwork was well-received by critics and audiences alike, and she quickly established herself as one of the most promising young artists in Hungary.

In addition to her work as an artist, Turóczy was also active in the Hungarian art community. She was a member of several art organizations, and often gave lectures and workshops to promote the arts in her community. Turóczy was also a dedicated mentor to young artists, offering guidance and support to those who were just starting out in their careers.

Despite her success as an artist, Turóczy remained humble and dedicated to her craft. She continued to push the boundaries of her art, always seeking new ways to express herself and connect with her audience. Turóczy's passion for the arts remained a driving force in her life, inspiring her to create some of the most beautiful and thought-provoking artworks of her time."
22,Q11880732,Mamorallo Tjoka," Mamorallo Tjoka was born on January 1, 1990, in the small village of Kgari, located in the rural area of Botswana. Growing up in a family of farmers, Mamorallo was exposed to the challenges and hardships of rural life from a young age. Despite these challenges, he showed a strong determination to succeed and make a difference in his community.

Mamorallo attended the local primary school and later went on to complete his secondary education at the prestigious Serowe International School. After completing his secondary education, Mamorallo received a scholarship to study at the University of Botswana, where he earned a degree in Business Administration.

After completing his degree, Mamorallo returned to his home village and started a small business, which quickly became successful. He used his success to give back to his community by starting a non-profit organization aimed at providing education and resources to the youth in his village.

Through his non-profit organization, Mamorallo has been able to provide scholarships to students who would otherwise not be able to afford education. He has also been able to provide resources such as books, computers, and sports equipment to schools in his community.

Mamorallo's dedication to his community and his desire to make a difference has earned him numerous awards and recognition. He has been recognized by the Botswana government for his contributions to education and community development. He has also been recognized by international organizations for his work in promoting education and resource distribution in rural areas.

Despite his many accomplishments, Mamorallo remains humble and committed to his mission of improving the lives of those in his community. He continues to work tirelessly to provide education and resources to the youth in his village and to make a positive impact on the lives of those around him."
23,Q5569144,Glenn Thompson," Glenn Thompson was born on January 1, 1980 in a small town in the United States. From a young age, he was fascinated by technology and how it could be used to solve problems. He spent much of his childhood tinkering with electronics and building his own computers.

After completing high school, Glenn attended a prestigious university where he studied computer science and mathematics. During his time at university, he became increasingly interested in the field of artificial intelligence and machine learning.

After graduating with a degree in computer science, Glenn began working at a leading tech company in Silicon Valley. There, he worked on a number of high-profile projects, including the development of a new operating system and the creation of a virtual assistant for a major tech company.

In addition to his work at the tech company, Glenn also founded his own startup, which focused on using machine learning to improve the efficiency of various industries. The company quickly gained a reputation for its innovative approach to problem-solving and was soon acquired by a larger tech company.

Since then, Glenn has continued to work in the tech industry, developing new technologies and pushing the boundaries of what is possible with artificial intelligence and machine learning. He is widely regarded as one of the leading experts in his field and is often sought out for his insights and expertise.

Outside of his work, Glenn is an avid runner and enjoys spending time outdoors. He also has a passion for photography and spends much of his free time capturing the beauty of the natural world."
24,Q526976,Anikó Kálovics," Anikó Kálovics is a Hungarian-born artist who has gained international recognition for her vibrant and colorful paintings. She was born in 1957 in Budapest, Hungary, and began painting at a young age. Kálovics studied at the Hungarian Academy of Fine Arts, where she was exposed to the works of famous artists such as Pablo Picasso and Vincent van Gogh, which had a significant impact on her artistic style.

After completing her studies, Kálovics began to exhibit her work in various galleries and art exhibitions in Hungary and abroad. Her paintings are known for their bold colors, dynamic brushstrokes, and intricate patterns, which often depict nature and its elements. She is particularly interested in the relationship between humans and the natural world, and often incorporates motifs such as leaves, flowers, and birds into her works.

Kálovics' art has been exhibited in numerous galleries and museums around the world, including the Hungarian National Gallery, the Museum of Modern Art in New York, and the Saatchi Gallery in London. She has received numerous awards and accolades for her work, including the Hungarian Order of Merit and the Golden Palm Award at the Cannes Film Festival.

In addition to her artistic pursuits, Kálovics is also known for her philanthropic efforts. She has established several foundations to support art education and the arts in Hungary, and has donated her time and resources to help those in need.

Overall, Anikó Kálovics is a highly accomplished artist who has made a significant impact on the world of art with her vibrant and thought-provoking paintings. Her work continues to inspire and captivate audiences around the globe."
25,Q16092888,Clyde T. Lusk," Clyde T. Lusk was born on January 1, 1945, in the small town of Smithville, Texas. He was the youngest of four children and grew up in a family that valued education and hard work. From a young age, Clyde was fascinated by the world of science and technology, and he spent much of his childhood tinkering with gadgets and experimenting with various scientific principles.

After graduating from high school, Clyde attended Texas A&M University, where he earned a degree in electrical engineering. He then went on to earn a master's degree in computer science from the University of Texas at Austin. During his time in college, Clyde worked part-time at a local electronics store, where he gained valuable experience in sales and customer service.

After completing his education, Clyde began his career as an engineer at IBM, where he worked on developing cutting-edge computer technology. He quickly made a name for himself as a skilled problem-solver and a dedicated team player. Over the course of his career, Clyde held various positions at IBM, including roles as a project manager, software engineer, and technical consultant.

In addition to his work at IBM, Clyde was also actively involved in the local community. He served on the board of directors for several non-profit organizations, including the Smithville Public Library and the Smithville Independent School District. Clyde was also a mentor to many young people in the community, offering guidance and support to those who were interested in pursuing careers in science and technology.

Throughout his life, Clyde remained passionate about science and technology, and he continued to stay up-to-date on the latest developments in these fields. He was also a devoted family man, and he loved spending time with his wife and children. Clyde T. Lusk passed away on March 12, 2021, leaving behind a legacy of hard work, dedication, and generosity. He will be deeply missed by all those who knew and loved him."
26,Q2977312,Sebastian Eisenlauer," Sebastian Eisenlauer was born on January 1, 1980 in Munich, Germany. He grew up in a family of musicians, which inspired him to pursue a career in music at a young age. Eisenlauer began playing the piano at the age of six and quickly developed a passion for classical music.

As a teenager, Eisenlauer won several awards for his musical talents, including the International Chopin Piano Competition and the Tchaikovsky International Competition. He was also awarded a full scholarship to study at the Juilliard School in New York City, where he earned a Bachelor's degree in piano performance.

After completing his studies at Juilliard, Eisenlauer went on to perform with some of the world's leading orchestras, including the Berlin Philharmonic, the London Symphony Orchestra, and the New York Philharmonic. He has also performed at many prestigious venues, such as Carnegie Hall and the Sydney Opera House.

In addition to his work as a solo pianist, Eisenlauer is also an accomplished composer and arranger. He has written several works for piano, orchestra, and chamber ensembles, and his compositions have been performed by leading musicians around the world.

Eisenlauer is widely regarded as one of the most talented and innovative musicians of his generation. He continues to tour and record, and is respected for his technical mastery, emotional depth, and creative vision."
27,Q7284533,Raina Fehl," Raina Fehl is a highly accomplished and respected figure in the field of medicine. Born in 1960 in the United States, she grew up with a strong interest in science and health. After completing her undergraduate studies, she attended medical school and earned her M.D. degree.

After completing her medical training, Dr. Fehl went on to complete a residency in internal medicine and a fellowship in cardiovascular disease. She began her career as a practicing physician, but quickly realized that she had a passion for medical research.

Dr. Fehl spent the next several years conducting groundbreaking research in the field of cardiovascular disease. Her work focused on developing new treatments for heart disease and stroke, and she made significant contributions to the field.

In addition to her research, Dr. Fehl was also a dedicated educator. She taught at several prestigious medical schools and mentored many young doctors. She was known for her passion for teaching and her ability to inspire her students.

Despite her many accomplishments, Dr. Fehl remained humble and dedicated to her work. She continued to push the boundaries of medical research and was respected by her peers for her expertise and dedication to her field.

Today, Dr. Fehl is widely recognized as one of the leading experts in the field of cardiovascular disease. Her work has had a significant impact on the lives of countless patients and has helped to improve the lives of millions of people around the world."
