,s_uri,subject,question,generation
15,Q17466328,Brian Kincher,What sport does Brian Kincher play?, Brian Kincher is a professional baseball player.
16,Q6756266,Marcel Šťastný,What is Marcel Šťastný's country of citizenship?, Marcel Šťastný is a Slovak professional ice hockey player.
17,Q6756266,Marcel Šťastný,In what historical country was Marcel Šťastný born?," Marcel Šťastný was born in Czechoslovakia, which was a country that existed from 1918 to 1992. It was located in Central Europe and was bordered by several other countries, including Germany, Austria, Hungary, Slovakia, and Poland. Czechoslovakia was known for its rich history, culture, and industry, and it was an important player in the Cold War era. However, it was dissolved in 19"
18,Q6756266,Marcel Šťastný,What is Marcel Šťastný's occupation?, Marcel Šťastný is a Slovak professional ice hockey player.
19,Q6756266,Marcel Šťastný,What sports team does Marcel Šťastný play for?, Marcel Šťastný is a professional ice hockey player who plays for the Tampa Bay Lightning of the National Hockey League (NHL).
20,Q6756266,Marcel Šťastný,What language does Marcel Šťastný speak?," Marcel Šťastný is a Slovak professional ice hockey player. He speaks Slovak, which is the official language of Slovakia."
21,Q6756266,Marcel Šťastný,What sport does Marcel Šťastný play?, Marcel Šťastný is a professional ice hockey player.
22,Q6756266,Marcel Šťastný,What sports position does Marcel Šťastný play?, Marcel Šťastný is a professional ice hockey player. He plays the position of a center.
23,Q1910661,Mattias Sereinig,What is Mattias Sereinig's country of citizenship?, Mattias Sereinig is a Swedish professional footballer who plays as a defender for IFK Göteborg in the Swedish Superettan.
24,Q1910661,Mattias Sereinig,In what city was Mattias Sereinig born?," Mattias Sereinig was born in Stockholm, Sweden."
25,Q1910661,Mattias Sereinig,What sports team does Mattias Sereinig play for?, Mattias Sereinig is a professional ice hockey player who plays for the Eisbären Berlin team in the German Ice Hockey League (DEL).
26,Q1910661,Mattias Sereinig,What is Mattias Sereinig's occupation?, Mattias Sereinig is a software engineer.
27,Q1910661,Mattias Sereinig,What sport does Mattias Sereinig play?, Mattias Sereinig is a professional snowboarder.
28,Q1910661,Mattias Sereinig,What sports position does Mattias Sereinig play?, Mattias Sereinig is a professional footballer who plays as a defender.
29,Q4661093,Aad Steylen,In what polder was Aad Steylen born?," Aad Steylen was born in the polder of Zuid-Holland, which is a region in the Netherlands known for its flat and fertile landscape. The polder is characterized by its rich soil, which is ideal for agriculture and horticulture. It is also home to many small towns and villages, as well as the famous Keukenhof Gardens, which is one of the largest and most beautiful flower gardens in the world."
30,Q4661093,Aad Steylen,What is Aad Steylen's country of citizenship?, Aad Steylen is a Dutch citizen.
31,Q4661093,Aad Steylen,What is Aad Steylen's occupation?, Aad Steylen is a Dutch professional footballer who currently plays as a defender for Eredivisie side AZ Alkmaar.
32,Q4661093,Aad Steylen,What sport does Aad Steylen play?, Aad Steylen is a professional triathlete who specializes in the sport of triathlon.
33,Q13637626,Frans Fiolet,In what city was Frans Fiolet born?," Frans Fiolet was born in The Hague, Netherlands."
34,Q13637626,Frans Fiolet,What is Frans Fiolet's country of citizenship?, Frans Fiolet is a Dutch citizen.
35,Q13637626,Frans Fiolet,What is Frans Fiolet's occupation?," Frans Fiolet is a Dutch artist, known for his paintings and drawings."
36,Q13637626,Frans Fiolet,What sport does Frans Fiolet play?," Frans Fiolet is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and fitness."
37,Q6763134,Marieke Stam,In what municipality of the Netherlands was Marieke Stam born?," Marieke Stam was born in the municipality of Almelo in the province of Overijssel, Netherlands."
38,Q6763134,Marieke Stam,What is Marieke Stam's occupation?, Marieke Stam is a professor of Cognitive Psychology at the University of Groningen in the Netherlands.
39,Q6763134,Marieke Stam,What is Marieke Stam's country of citizenship?, Marieke Stam is a Dutch citizen.
40,Q6763134,Marieke Stam,What sport does Marieke Stam play?, Marieke Stam is a professional snowboarder.
41,Q6873589,Mirjam van Hemert,In what city was Mirjam van Hemert born?," Mirjam van Hemert was born in Amsterdam, Netherlands."
42,Q6873589,Mirjam van Hemert,What is Mirjam van Hemert's country of citizenship?, Mirjam van Hemert is a Dutch citizen.
43,Q6873589,Mirjam van Hemert,What is Mirjam van Hemert's occupation?, Mirjam van Hemert is a Dutch artist.
44,Q6873589,Mirjam van Hemert,What sport does Mirjam van Hemert play?, Mirjam van Hemert is a professional triathlete who specializes in the sport of triathlon.
45,Q16019038,Kees Douze,In what municipality of the Netherlands was Kees Douze born?," Kees Douze was born in the municipality of Amsterdam, Netherlands."
46,Q16019038,Kees Douze,What is Kees Douze's country of citizenship?, Kees Douze is a Dutch professional footballer who plays as a defender for FC Twente.
47,Q16019038,Kees Douze,What is Kees Douze's occupation?," Kees Douze is a Dutch professional footballer who currently plays as a defender for FC Emmen in the Eredivisie, the highest level of football in the Netherlands."
48,Q16019038,Kees Douze,In what village was Kees Douze born?," Kees Douze was born in the village of Oosterbeek, which is located in the Netherlands."
49,Q2360685,Frédéric Delpla,In what commune of France was Frédéric Delpla born?," Frédéric Delpla was born in the commune of Montigny-le-Bretonneux, located in the Yvelines department in the Île-de-France region of France."
50,Q2360685,Frédéric Delpla,What is Frédéric Delpla's country of citizenship?, Frédéric Delpla is a French citizen.
51,Q2360685,Frédéric Delpla,What is Frédéric Delpla's occupation?," Frédéric Delpla is a French chef and restaurateur. He is the owner and head chef of several successful restaurants in France, including ""L'Atelier"" in Paris, which has earned a Michelin star. He is known for his innovative and creative approach to cooking, as well as his attention to detail and use of high-quality, locally-sourced ingredients."
52,Q2360685,Frédéric Delpla,What sport does Frédéric Delpla play?, Frédéric Delpla is a professional snowboarder.
53,Q2360685,Frédéric Delpla,What language does Frédéric Delpla speak?," Frédéric Delpla is a Frenchman, so he speaks French."
54,Q12000348,Sigmund Steinnes,What position is held by Sigmund Steinnes?," Sigmund Steinnes is the President of the International Association of Movers (IAM), a global organization representing the moving and relocation industry."
55,Q12000348,Sigmund Steinnes,What is the political party associated with Sigmund Steinnes?," Sigmund Freud, the founder of psychoanalysis, was an Austrian neurologist and the founder of psychoanalysis. He was not associated with any political party."
56,Q12000348,Sigmund Steinnes,Which political party is Sigmund Steinnes affiliated with?, Sigmund Steinnes is affiliated with the Conservative Party.
57,Q12000348,Sigmund Steinnes,What is Sigmund Steinnes's country of citizenship?, Sigmund Steinnes is an Icelandic footballer.
58,Q12000348,Sigmund Steinnes,In what municipality of Norway was Sigmund Steinnes born?, Sigmund Steinnes was born in the municipality of Skien in Norway.
59,Q12000348,Sigmund Steinnes,What is Sigmund Steinnes's occupation?," Sigmund Freud is a famous Austrian neurologist and the founder of psychoanalysis. He is known for his theories on the unconscious mind and the concept of the Oedipus complex. Freud's work has had a significant impact on the fields of psychology, psychiatry, and anthropology."
60,Q3280880,Jannie van Eyck-Vos,In what town was Jannie van Eyck-Vos born?," Jannie van Eyck-Vos was born in the town of Ede, which is located in the province of Gelderland in the Netherlands."
61,Q3280880,Jannie van Eyck-Vos,What is Jannie van Eyck-Vos's occupation?, Jannie van Eyck-Vos is a South African politician who is currently serving as the Member of the National Assembly for the Democratic Alliance (DA) in South Africa.
62,Q3280880,Jannie van Eyck-Vos,What is Jannie van Eyck-Vos's country of citizenship?, Jannie van Eyck-Vos is a South African.
63,Q3280880,Jannie van Eyck-Vos,What sport does Jannie van Eyck-Vos play?," Jannie van Eyck-Vos is a professional triathlete, who specializes in the sport of triathlon."
64,Q3165866,Jean-François Rodriguez,In what commune of France was Jean-François Rodriguez born?," Jean-François Rodriguez was born in the commune of Paris, France."
65,Q3165866,Jean-François Rodriguez,What is Jean-François Rodriguez's country of citizenship?, Jean-François Rodriguez is a French professional footballer.
66,Q3165866,Jean-François Rodriguez,What is Jean-François Rodriguez's occupation?, Jean-François Rodriguez is a professional soccer player.
67,Q3165866,Jean-François Rodriguez,What sports team does Jean-François Rodriguez play for?," Jean-François Rodriguez is a professional soccer player who currently plays for the French team, Stade Rennais F.C."
68,Q3165866,Jean-François Rodriguez,What sport does Jean-François Rodriguez play?, Jean-François Rodriguez is a professional snowboarder.
69,Q3165866,Jean-François Rodriguez,In what sports event did Jean-François Rodriguez participate in?," Jean-François Rodriguez participated in the 2012 Summer Olympics in London, where he competed in the men's 200m butterfly event. He finished in 12th place in the final, with a time of 1:56.12."
70,Q3165866,Jean-François Rodriguez,What language does Jean-François Rodriguez speak?, Jean-François Rodriguez is a French-speaking Canadian.
71,Q7197458,Klaudiusz Urban,In what city was Klaudiusz Urban born?," Klaudiusz Urban, also known as Claude Bernard, was born in Paris, France."
72,Q7197458,Klaudiusz Urban,What is Klaudiusz Urban's country of citizenship?, Klaudiusz Urban is a Polish footballer.
73,Q7197458,Klaudiusz Urban,What is Klaudiusz Urban's occupation?, Klaudiusz Urban is a Polish professional footballer who plays as a forward.
74,Q7197458,Klaudiusz Urban,What sport does Klaudiusz Urban play?, Klaudiusz Urban is a professional volleyball player.
75,Q7197458,Klaudiusz Urban,What language does Klaudiusz Urban speak?, Klaudiusz Urban speaks Polish.
76,Q7197458,Klaudiusz Urban,What country does Klaudiusz Urban play for?, Klaudiusz Urban is a Polish professional footballer who plays for Legia Warsaw.
77,Q5138907,Cobie Buter,In what cadastral populated place in the Netherlands was Cobie Buter born?," Cobie Buter was born in the cadastral populated place of Oosterbeek, which is located in the province of Gelderland in the Netherlands."
78,Q5138907,Cobie Buter,What is Cobie Buter's country of citizenship?, Cobie Buter is a Dutch professional footballer who plays as a defender for Eredivisie club AZ Alkmaar.
79,Q5138907,Cobie Buter,What is Cobie Buter's occupation?, Cobie Buter is a professional soccer player.
80,Q5138907,Cobie Buter,What sport does Cobie Buter play?, Cobie Buter is a professional snowboarder.
81,Q16097395,Aurel Șelaru,In what city was Aurel Șelaru born?," Aurel Șelaru was born in the city of Galați, Romania."
82,Q16097395,Aurel Șelaru,What is Aurel Șelaru's occupation?, Aurel Șelaru is a Romanian professional footballer who plays as a forward.
83,Q16097395,Aurel Șelaru,What is Aurel Șelaru's country of citizenship?, Aurel Șelaru is a Romanian footballer.
84,Q16097395,Aurel Șelaru,What sport does Aurel Șelaru play?, Aurel Șelaru is a Romanian gymnast.
85,Q16097395,Aurel Șelaru,What language does Aurel Șelaru speak?, Aurel Șelaru is a Romanian politician.
86,Q17466562,Yauheni Novikau,What is Yauheni Novikau's occupation?, Yauheni Novikau is a professional boxer.
87,Q17466562,Yauheni Novikau,What sport does Yauheni Novikau play?, Yauheni Novikau is a professional tennis player.
88,Q17466562,Yauheni Novikau,What is Yauheni Novikau's country of citizenship?, Yauheni Novikau is a Belarusian professional footballer who plays as a midfielder.
89,Q19979263,Thron Riggs,What sports team does Thron Riggs play for?, Thron Riggs is a professional eSports player who plays for Team SoloMid (TSM) in the League of Legends (LoL) game.
90,Q19979263,Thron Riggs,What is the alma mater of Thron Riggs?," Thron Riggs is a fictional character from the television show ""Breaking Bad,"" and as such, he does not have an alma mater in the real world. The show's creator, Vince Gilligan, has stated that the character's lack of an alma mater was a deliberate creative choice to emphasize Riggs's unconventional and anti-establishment nature."
91,Q19979263,Thron Riggs,In what city was Thron Riggs born?, Thron Riggs was born in New York City.
92,Q19979263,Thron Riggs,What is Thron Riggs's country of citizenship?," Thron Riggs is a fictional character, and as such, he does not have a country of citizenship. He is a creation of a writer and appears in a work of fiction, such as a novel or a comic book. The country of citizenship would depend on the nationality of the writer who created the character."
93,Q19979263,Thron Riggs,What is Thron Riggs's occupation?, Thron Riggs is a professional video game streamer.
94,Q19979263,Thron Riggs,What sports position does Thron Riggs play?, Thron Riggs is a professional rugby player who plays the position of a prop forward in the sport of rugby union.
95,Q19979263,Thron Riggs,What sport does Thron Riggs play?, Thron Riggs is a professional snowboarder.
96,Q5614033,John Cullberg,In what socken was John Cullberg born?, John Cullberg was born in the socken of Södermanland in Sweden.
97,Q5614033,John Cullberg,Who is the child of John Cullberg?, John Cullberg is the father of John Cullberg.
98,Q5614033,John Cullberg,What is John Cullberg's country of citizenship?," John Cullberg is a Swedish professional footballer who was born in Stockholm, Sweden. Therefore, his country of citizenship is Sweden."
99,Q5614033,John Cullberg,What is the alma mater of John Cullberg?," John Cullberg's alma mater is the University of California, Berkeley."
100,Q5614033,John Cullberg,What is John Cullberg's occupation?, John Cullberg is a Swedish professional ice hockey player.
101,Q5614033,John Cullberg,What award did John Cullberg receive?," John Cullberg received the Pulitzer Prize for Drama in 1949 for his play ""Anatomy of a Murder."" This play is considered a classic of American drama and is often performed and studied in theatrical and literary circles. The Pulitzer Prize is a prestigious award that recognizes outstanding achievements in various fields, including literature, drama, music, and journalism."
102,Q5614033,John Cullberg,Who is the father of John Cullberg?, John Cullberg is the son of the famous Swedish actress Greta Garbo.
103,Q5614033,John Cullberg,In what city was John Cullberg born?," John Cullberg was born in Stockholm, Sweden."
104,Q5614033,John Cullberg,What is the religion of John Cullberg?," John Cullberg was a Swedish painter, and I do not have information on his religion. However, since he was born in Sweden, it is likely that he was a Christian, as Sweden is a predominantly Christian country."
105,Q5614033,John Cullberg,What language does John Cullberg speak?," John Cullberg is a Swedish director and choreographer. He is known for his work in theater and dance, particularly in Sweden and the United States. It is likely that he speaks Swedish, as he is from Sweden and has worked extensively in the Swedish theater and dance scene. However, he may also be fluent in English, as he has worked in the United States and has directed and choreographed productions in both countries."
106,Q5614033,John Cullberg,Who is the sibling of John Cullberg?, John Cullberg is the brother of Mary Cullberg.
107,Q436015,Krystian Długopolski,What language does Krystian Długopolski speak?," Krystian Długopolski is a Polish professional footballer who currently plays as a defender for Legia Warsaw. Therefore, he speaks Polish as his primary language."
108,Q436015,Krystian Długopolski,What is Krystian Długopolski's occupation?, Krystian Długopolski is a professional poker player.
109,Q436015,Krystian Długopolski,In what urban municipality was Krystian Długopolski born?," Krystian Długopolski was born in the city of Warsaw, Poland."
110,Q436015,Krystian Długopolski,What is Krystian Długopolski's country of citizenship?, Krystian Długopolski is a Polish professional footballer.
111,Q436015,Krystian Długopolski,What sport does Krystian Długopolski play?," Krystian Długopolski is a professional eSports player who primarily plays Counter-Strike: Global Offensive (CS:GO). He is known for his skills as a rifler, which involves using a rifle to engage targets from a distance. Długopolski has played for various teams, including G2 Esports and Ninjas in Pyjamas, and has been involved in several high-profile tournaments and events."
112,Q436015,Krystian Długopolski,What sports team does Krystian Długopolski play for?," Krystian Długopolski is a professional footballer who plays for Legia Warsaw, a football club based in Warsaw, Poland."
113,Q2303304,Raymond Heerenveen,What is Raymond Heerenveen's country of citizenship?, Raymond Heerenveen is a Dutch citizen.
114,Q2303304,Raymond Heerenveen,What is Raymond Heerenveen's occupation?," Raymond Heerenveen is a Dutch professional footballer who currently plays as a defender for FC Emmen in the Eredivisie, the highest tier of football in the Netherlands."
115,Q2303304,Raymond Heerenveen,What sport does Raymond Heerenveen play?," Raymond Heerenveen is a Dutch professional footballer who plays as a defender for Ajax in the Eredivisie, the top tier of Dutch football."
116,Q2303304,Raymond Heerenveen,In what country of the Kingdom of the Netherlands was Raymond Heerenveen born?," Raymond Heerenveen was born in the Netherlands, specifically in the province of Friesland."
117,Q1531395,Alena Dylko,In what city was Alena Dylko born?," Alena Dylko was born in Kiev, Ukraine."
118,Q1531395,Alena Dylko,What is Alena Dylko's country of citizenship?, Alena Dylko is a citizen of the United States.
119,Q1531395,Alena Dylko,What is Alena Dylko's occupation?, Alena Dylko is a professional poker player.
120,Q1531395,Alena Dylko,What sport does Alena Dylko play?, Alena Dylko is a professional snowboarder.
121,Q16014999,Joseph Modeste Sweeney,What is Joseph Modeste Sweeney's occupation?, Joseph Modeste Sweeney is a professional boxer.
122,Q16014999,Joseph Modeste Sweeney,In what city was Joseph Modeste Sweeney born?, Joseph Modeste Sweeney was born in New York City.
123,Q16014999,Joseph Modeste Sweeney,What is the alma mater of Joseph Modeste Sweeney?," Joseph Modeste Sweeney is a former United States Army officer and a recipient of the Medal of Honor, the highest military award in the United States. His alma mater is the United States Military Academy, also known as West Point, which he attended from 1942 to 1946."
124,Q16014999,Joseph Modeste Sweeney,What is the field of work of Joseph Modeste Sweeney?," Joseph Modeste Sweeney was a prominent American lawyer and politician. He served as the 47th Governor of the state of New York from 1958 to 1962. Prior to his political career, Sweeney was a successful lawyer, practicing in New York City. He was also involved in the entertainment industry, serving as the president of the Motion Picture Association of America (MPAA) from 1951 to 195"
125,Q16014999,Joseph Modeste Sweeney,What is Joseph Modeste Sweeney's country of citizenship?, Joseph Modeste Sweeney is a United States citizen.
126,Q1447019,Wilmo Francioni,What sports team does Wilmo Francioni play for?, Wilmo Francioni is a professional soccer player who currently plays for the New York Red Bulls in Major League Soccer (MLS) in the United States.
127,Q1447019,Wilmo Francioni,In what commune of Italy was Wilmo Francioni born?," Wilmo Francioni was born in the commune of Rome, Italy."
128,Q1447019,Wilmo Francioni,What is Wilmo Francioni's occupation?, Wilmo Francioni is a professional soccer player.
129,Q1447019,Wilmo Francioni,What is Wilmo Francioni's country of citizenship?, Wilmo Francioni is an Italian professional footballer.
130,Q1447019,Wilmo Francioni,What sport does Wilmo Francioni play?, Wilmo Francioni is a professional soccer player.
131,Q1447019,Wilmo Francioni,What language does Wilmo Francioni speak?," Wilmo Francioni is a character in the novel ""The Count of Monte Cristo"" by Alexandre Dumas. He is a Frenchman, so he would speak French."
132,Q1447019,Wilmo Francioni,What country does Wilmo Francioni play for?, Wilmo Francioni is a professional footballer who plays for the Italian national team.
133,Q3805514,Jacek Bierkowski,What sport does Jacek Bierkowski play?, Jacek Bierkowski is a professional snowboarder.
134,Q3805514,Jacek Bierkowski,What language does Jacek Bierkowski speak?, Jacek Bierkowski is a Polish-American professional wrestler. He is fluent in both Polish and English.
135,Q3805514,Jacek Bierkowski,In what city was Jacek Bierkowski born?," Jacek Bierkowski was born in Warsaw, Poland."
136,Q3805514,Jacek Bierkowski,What is Jacek Bierkowski's occupation?, Jacek Bierkowski is a Polish professional footballer who currently plays as a midfielder for Pogoń Szczecin.
137,Q3805514,Jacek Bierkowski,What is the alma mater of Jacek Bierkowski?," Jacek Bierkowski is a Polish-American mathematician and theoretical biologist. He is an alumnus of the University of Warsaw, where he earned his undergraduate degree in mathematics. He later pursued graduate studies in the United States, receiving a Master's degree from the University of California, Berkeley and a Ph.D. in Mathematics from the University of California, Los Angeles (UCLA)."
138,Q3805514,Jacek Bierkowski,What award did Jacek Bierkowski receive?," Jacek Bierkowski received the Jan Karski Award in 2018. The Jan Karski Award is given to individuals who have demonstrated exceptional leadership and commitment to advancing human rights and social justice. It is named after Jan Karski, a Polish-American who was a World War II resistance fighter and later a human rights activist. The award is presented by the Jan Karski Educational Foundation, which is dedicated to promoting awareness of"
139,Q3805514,Jacek Bierkowski,What is Jacek Bierkowski's country of citizenship?, Jacek Bierkowski is a Polish professional footballer who plays as a defender for Legia Warsaw.
140,Q8003762,Willi Messner,In what city was Willi Messner born?," Willi Messner was born in Vienna, Austria."
141,Q8003762,Willi Messner,What is Willi Messner's country of citizenship?, Willi Messner is an Austrian skier.
142,Q8003762,Willi Messner,What is Willi Messner's occupation?, Willi Messner is a professional skateboarder.
143,Q8003762,Willi Messner,What sport does Willi Messner play?, Willi Messner is a professional snowboarder.
144,Q8003762,Willi Messner,What language does Willi Messner speak?, Willi Messner is a German-speaking individual.
145,Q8003762,Willi Messner,What country does Willi Messner play for?, Willi Messner is a professional footballer from Germany.
146,Q17466330,Eirian Smith,What is Eirian Smith's country of citizenship?, Eirian Smith is a Welsh professional footballer who plays as a forward for Swansea City.
147,Q17466330,Eirian Smith,What is Eirian Smith's occupation?, Eirian Smith is a software engineer.
148,Q17466330,Eirian Smith,What sport does Eirian Smith play?, Eirian Smith is a professional snowboarder.
149,Q7616431,Stig Arild Slørdahl,In what municipality of Norway was Stig Arild Slørdahl born?," Stig Arild Slørdahl was born in the municipality of Oslo, Norway."
150,Q7616431,Stig Arild Slørdahl,What is Stig Arild Slørdahl's country of citizenship?, Stig Arild Slørdahl is a Norwegian citizen.
151,Q7616431,Stig Arild Slørdahl,What is Stig Arild Slørdahl's occupation?, Stig Arild Slørdahl is a Norwegian professional footballer who currently plays as a forward for Stavanger IF.
152,Q3262213,Louis Huvey,In what city was Louis Huvey born?," Louis Huvey was born in Paris, France."
153,Q3262213,Louis Huvey,What is Louis Huvey's country of citizenship?, Louis Huvey's country of citizenship is France.
154,Q3262213,Louis Huvey,What is Louis Huvey's occupation?," Louis Huvey is a French artist, known for his paintings and drawings. He is particularly known for his portraits and figure drawings, which often depict nude or semi-nude figures in a realistic style. Huvey's work is characterized by its attention to detail, and he is known for his ability to capture the human form with precision and sensitivity. He has had numerous exhibitions of his work throughout Europe and has been recognized for his contributions to"
155,Q3262213,Louis Huvey,What language does Louis Huvey speak?," Louis Huey is a fictional character, and as such, he does not speak any language."
156,Q1988065,Jos Valentijn,In what village was Jos Valentijn born?," Jos Valentijn was born in the village of Oosterbeek, which is located in the Netherlands."
157,Q1988065,Jos Valentijn,What is Jos Valentijn's occupation?, Jos Valentijn is a Dutch professional footballer who plays as a forward.
158,Q1988065,Jos Valentijn,Who is the spouse of Jos Valentijn?, Jos Valentijn is married to a woman named Marleen.
159,Q1988065,Jos Valentijn,What is Jos Valentijn's country of citizenship?, Jos Valentijn is a Dutch professional footballer who plays as a defender.
160,Q1988065,Jos Valentijn,Who is the child of Jos Valentijn?, The child of Jos Valentijn is a woman named Josie Valentijn.
161,Q1988065,Jos Valentijn,What sport does Jos Valentijn play?, Jos Valentijn is a professional soccer player.
162,Q5714932,Hennie Penterman,In what city was Hennie Penterman born?," Hennie Penterman was born in the city of Amsterdam, Netherlands."
163,Q5714932,Hennie Penterman,What is Hennie Penterman's country of citizenship?, Hennie Penterman is a Dutch professional footballer who plays as a defender for Eredivisie club AZ Alkmaar.
164,Q5714932,Hennie Penterman,What is Hennie Penterman's occupation?, Hennie Penterman is a Dutch professional footballer who currently plays as a forward for Eredivisie side ADO Den Haag.
165,Q5714932,Hennie Penterman,What sport does Hennie Penterman play?, Hennie Penterman is a professional skateboarder.
166,Q5627015,Günter Nachtigall,In what urban municipality in Germany was Günter Nachtigall born?," Günter Nachtigall was born in the city of Essen, which is located in the state of North Rhine-Westphalia, Germany."
167,Q5627015,Günter Nachtigall,What is Günter Nachtigall's occupation?, Günter Nachtigall is a German professional footballer who currently plays as a defender for FC St. Pauli in the German Bundesliga.
168,Q5627015,Günter Nachtigall,What is Günter Nachtigall's country of citizenship?, Günter Nachtigall is a German professional footballer.
169,Q5627015,Günter Nachtigall,What sport does Günter Nachtigall play?, Günter Nachtigall is a former German football player.
170,Q5627015,Günter Nachtigall,What language does Günter Nachtigall speak?," Günter Nachtigall is a German professional footballer who currently plays as a defender for Borussia Mönchengladbach in the German Bundesliga. As a result, he speaks German as his primary language."
171,Q5627015,Günter Nachtigall,What country does Günter Nachtigall play for?, Günter Nachtigall is a German footballer.
172,Q1712246,Julien Fouchard,In what town was Julien Fouchard born?," Julien Fouchard was born in the town of Lunéville, which is located in the Meurthe-et-Moselle department of France."
173,Q1712246,Julien Fouchard,What sports team does Julien Fouchard play for?," I's sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your question?"
174,Q1712246,Julien Fouchard,What sport does Julien Fouchard play?," Julien Fouchard is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and athleticism."
175,Q1712246,Julien Fouchard,What is Julien Fouchard's country of citizenship?, Julien Fouchard is a French citizen.
176,Q1712246,Julien Fouchard,What is Julien Fouchard's occupation?," Based on the information provided, it is not possible to determine Julien Fouchard's occupation."
177,Q1712246,Julien Fouchard,In what sports event did Julien Fouchard participate in?," Julien Fouchard participated in the 1900 Summer Olympics in Paris, France. He competed in the men's 200m freestyle swimming event, where he finished in 11th place."
178,Q1712246,Julien Fouchard,What language does Julien Fouchard speak?," Julien Fouchard is a Frenchman, so he speaks French."
179,Q15996113,Horst Kerfin,In what city was Horst Kerfin born?," Horst Kerfin was born in Cologne, Germany."
180,Q15996113,Horst Kerfin,What award did Horst Kerfin receive?," Horst Kerfin received the prestigious Turing Award in 1971 for his outstanding contributions to the field of computer science, particularly for his work on the design and implementation of the first self-scheduling algorithm for computer operating systems. This algorithm, known as the ""Kerfin Algorithm,"" has had a significant impact on the development of modern operating systems and has been widely adopted by major technology companies around the world."
181,Q3754301,Fulvio Francesconi,In what commune of Italy was Fulvio Francesconi born?," Fulvio Francesconi was born in the commune of Milan, Italy."
182,Q3754301,Fulvio Francesconi,What is Fulvio Francesconi's country of citizenship?, Fulvio Francesconi is an Italian citizen.
183,Q3754301,Fulvio Francesconi,What is Fulvio Francesconi's occupation?, Fulvio Francesconi is a professional footballer who plays as a defender.
184,Q3754301,Fulvio Francesconi,What sports team does Fulvio Francesconi play for?, Fulvio Francesconi is a professional footballer who plays for the Italian national team.
185,Q3754301,Fulvio Francesconi,What sports position does Fulvio Francesconi play?, Fulvio Francesconi is a professional soccer player who plays the position of a defender.
186,Q3754301,Fulvio Francesconi,What sport does Fulvio Francesconi play?, Fulvio Francesconi is a professional tennis player.
187,Q3754301,Fulvio Francesconi,What language does Fulvio Francesconi speak?, Fulvio Francesconi speaks Italian.
188,Q2041092,Otto Ziege,In what city was Otto Ziege born?," Otto Ziege was born in Cologne, Germany."
189,Q2041092,Otto Ziege,What sport does Otto Ziege play?, Otto Ziege is a professional skateboarder.
190,Q2041092,Otto Ziege,What is Otto Ziege's country of citizenship?, Otto Ziege is a German professional footballer.
191,Q2041092,Otto Ziege,What language does Otto Ziege speak?," Otto Ziege is a fictional character, and as such, he does not speak any language. He is a comic book character, and his dialogue is typically in the form of speech bubbles or captions, which are written in the language of the comic book itself."
192,Q2041092,Otto Ziege,What award did Otto Ziege receive?," Otto Ziege received the Nobel Prize in Physics in 1901, along with Gustav Kirchhoff, for their contributions to the study of spectroscopy. Specifically, they were recognized for their work on the spectroscopy of metals, which helped to establish the field of modern spectroscopy."
